Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Tropical Storm Ernesto,2006,9/1/2006,10:00 a.m.,9/4/2006,2:00 p.m.,Delmarva Power,Southern Delmarva Peninsula,RFC,380,105000.0,"severe weather, hurricane/tropical storm"
Tropical Storm Ernesto,2006,9/1/2006,3:00 p.m.,9/4/2006,11:00 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,146094.0,"severe weather, hurricane/tropical storm"
Tropical Storm Ernesto,2006,9/1/2006,5:30 a.m.,9/1/2006,10:00 a.m.,"Progress Energy Carolinas, Inc.",Eastern North Carolina,SERC,,61000.0,"severe weather, hurricane/tropical storm"
Shed Firm Load/Reduced Voltage,2006,8/24/2006,9:58 p.m.,8/24/2006,11:25 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,180,106000.0,"load shedding, voltage reduction"
Severe Thunderstorm,2006,8/10/2006,8:00 p.m.,8/12/2006,12:00 p.m.,Idaho Power Company,Southwest Idaho and Eastern Oregon,WECC,80 to 100,65000.0,"severe weather, thunderstorm"
Made Public Appeals,2006,8/7/2006,1:00 p.m.,8/7/2006,6:00 p.m.,American Electric Power,"Tulsa, Oklahoma",RFC,75,,public appeal
Shed Firm Load,2006,8/3/2006,2:16 p.m.,8/3/2006,2:46 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,369,227480.0,load shedding
Declared Energy Emergency Alert 2/Heat Wave,2006,8/2/2006,12:00 p.m.,8/2/2006,4:45 p.m.,Midwest ISO,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",MRO,,,"severe weather, heat"
System Wide Voltage Reduction,2006,8/2/2006,1:00 p.m.,8/2/2006,4:35 p.m.,ISO England,New England,NPCC,,,voltage reduction
Severe Thunderstorms,2006,8/2/2006,7:00 p.m.,8/3/2006,1:00 a.m.,National Grid,New England,NPCC,100-140,77000.0,"severe weather, thunderstorm"
Made Public Appeals,2006,8/1/2006,1:00 p.m.,8/1/2006,8:30 p.m.,Duke Energy Midwest,"Ohio, Indiana, Kentucky",RFC,90,,public appeal
Made Public Appeals/Heat Wave,2006,8/1/2006,12:00 p.m.,8/1/2006,7:00 p.m.,First Energy Corporation,Northern Ohio,RFC,,,"severe weather, heat, public appeal"
Severe Thunderstorms,2006,7/27/2006,6:38 p.m.,7/29/2006,9:36 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,167564.0,"severe weather, thunderstorm"
Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,California ISO,California,WECC,695,,"severe weather, heat"
Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,Southern California Edison Company,California,WECC,414,4.0,"severe weather, heat"
Widespread Heat Wave/Public Appeals Made,2006,7/22/2006,1:09 p.m.,7/27/2006,4:00 p.m.,Pacific Gas and Electric Company,California,WECC,200,1271893.0,"severe weather, heat, public appeal"
Severe Storms (3) (Many customers experienced multiple outages.),2006,7/19/2006,6:00 p.m.,7/31/2006,8:00 a.m.,Ameren Corporation,Greater St. Louis Metropolitan area (Missouri and Illinois),MRO,"1,500",2500000.0,"severe weather, storm"
Load Reduction/Public Appeals Made,2006,7/19/2006,11:00 a.m.,7/19/2006,5:54 p.m.,Entergy Services Inc.,"Greater Little Rock, Arkansas",SERC,40,8000.0,"load shedding, public appeal"
Severe Lightning Storms,2006,7/18/2006,6:36 p.m.,7/23/2006,11:59 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,492955.0,"severe weather, thunderstorm"
Lightning Storms/Tripped Lines,2006,7/18/2006,8:07 p.m.,7/18/2006,10:32 p.m.,ISO New England,"Norwalk, Stamford, Connecticut",NPCC,0,0.0,"severe weather, thunderstorm"
Severe Lightning Storms,2006,7/17/2006,9:00 p.m.,7/18/2006,9:00 a.m.,Exelon Corporation West ComEd,Northern Counties of Illinois,RFC,,170519.0,"severe weather, thunderstorm"
Severe Weather/Public Appeals Made/Voltage Reduction,2006,7/17/2006,6:50 p.m.,7/25/2006,3:06 a.m.,Consolidated Edison Company of NY,"Northwest Queens, New York City",NPCC,,25000.0,"severe weather, public appeal, voltage reduction"
Severe Lightning Storms,2006,7/16/2006,2:00 p.m.,7/21/2006,12:00 a.m.,Consumers Energy,Middle 1/3 of Michigan Lower Peninsula,RFC,150,315000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2006,7/4/2006,5:30 p.m.,7/4/2006,8:18 p.m.,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,335,67000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2006,7/2/2006,6:39 p.m.,7/3/2006,12:31 a.m.,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,300,75000.0,"severe weather, thunderstorm"
Severe Thunderstorms,2006,6/22/2006,2:00 p.m.,6/27/2006,11:00 p.m.,American Electric Power,Ohio and Indiana,RFC,750,195000.0,"severe weather, thunderstorm"
Severe Thunderstorm,2006,6/11/2006,6:00 p.m.,6/11/2006,9:00 p.m.,Duke Energy Carolinas,"Charlotte, North Carolina Metropolitan area",SERC,70,72000.0,"severe weather, thunderstorm"
Severe Weather,2006,6/1/2006,6:00 p.m.,6/3/2006,9:00 a.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,111555.0,severe weather
Load Shed,2006,6/1/2006,2:12 p.m.,6/1/2006,6:09 p.m.,Hawaiian Electric Company Inc.,Island of Oahu,HECO,120,29300.0,load shedding
Severe Thunderstorms,2006,6/1/2006,6:30 p.m.,6/3/2006,2:00 p.m.,Baltimore Gas and Electric,Central Maryland,RFC,335,70000.0,"severe weather, thunderstorm"
Severe Weather,2006,5/25/2006,7:50 p.m.,5/27/2006,9:00 a.m.,"Duke Energy - Ohio, Kentucky, Indiana","Southwest Ohio, Northern Kentucky, Central Indiana",RFC,800,210000.0,severe weather
Lightning Strike,2006,5/19/2006,3:13 p.m.,5/19/2006,10:30 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,133,,"severe weather, thunderstorm"
Load Shed,2006,5/4/2006,2:12 p.m.,5/4/2006,2:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,94639.0,load shedding
Transmission Equipment Failure/Fire,2006,5/3/2006,3:30 p.m.,5/3/2006,9:35 p.m.,Pacific Gas and Electric Company,City of Bakersfield area,WECC,300,55655.0,"equipment failure, wild fire"
Lightning Storm,2006,4/29/2006,2:55 p.m.,4/29/2006,3:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,237,164105.0,"severe weather, thunderstorm"
Severe Weather,2006,4/21/2006,7:00 a.m.,4/21/2006,10:00 a.m.,CenterPoint Energy,System-wide greater Houston metro area,ERCOT,219,82000.0,severe weather
Load Shed/Declared EECP,2006,4/17/2006,3:25 p.m.,4/17/2006,7:30 p.m.,Electric Reliability Council of Texas,ERCOT Region of Texas,ERCOT,"1,000",200000.0,load shedding
Load Shed/ Declared EECP,2006,4/17/2006,4:11 p.m.,4/17/2006,7:20 p.m.,TXU Electric Delivery Company,North and East Texas,ERCOT,380,489478.0,load shedding
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:20 p.m.,4/17/2006,6:30 p.m.,Austin Energy,State of Texas (all of Austin Energy),ERCOT,37- 40,9000.0,"load shedding, public appeal"
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:10 p.m.,4/17/2006,6:11 p.m.,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,260,68000.0,"load shedding, public appeal"
Load Shed/Declared EECP,2006,4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,American Electric Power,AEP Texas Central/Texas North,ERCOT,108,51404.0,load shedding
Severe Weather/ Tornadoes,2006,4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,Southern Company,North and Central Alabama and Northern Georgia areas,SERC,300,115589.0,"severe weather, tornado"
Voltage Reduction/Load Shed,2006,4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,116,54700.0,"voltage reduction, load shedding"
Major Storms/Tornadoes,2006,4/2/2006,9:00 p.m.,4/5/2006,4:25 a.m.,Cinergy PSI,Southern half of Indiana,RFC,"1,000",186000.0,"severe weather, tornado, storm"
Severe Weather,2006,3/12/2006,8:30 p.m.,3/14/2006,12:00 p.m.,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,200,65400.0,severe weather
Severe Weather,2006,3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,,73000.0,severe weather
Severe Winter Storm,2006,2/27/2006,6:25 p.m.,3/1/2006,2:30 p.m.,Pacific Gas and Electric Company,Northern and Central California,WECC,-,160000.0,"severe weather, winter storm"
Inadequate Electric Resources to Serve Load,2006,2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Public Service Company of Colorado,Colorado,WECC,428,,load shedding
Severe Weather,2006,2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,National Grid - NY  (Niagara Mohawk Power Corp),Upstate New York,NPCC,250,200000.0,severe weather
Fuel Supply - Deficiency Coal Rail Transportation Interruption,2006,2/16/2006,Ongoing,Ongoing,Ongoing,Missouri Basin Power District,North Dakota,MRO,"1,650",0.0,"fuel supply emergency, coal"
Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,12:00 p.m.,2/20/2006,11:00 p.m.,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,100,252089.0,"severe weather, winter storm"
Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Delmarva Power,Entire Delmarva Power service territory,RFC,50,58000.0,"severe weather, winter storm"
Major Snow Storm,2006,2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,Potomac Electric Power Company,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,300,60000.0,"severe weather, winter storm"
Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Atlantic City Electric,Entire Atlantic City Electric territory Southern New Jersey,RFC,80,130000.0,"severe weather, winter storm"
Severe Snow Storm,2006,2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Dominion - Virginia Power,Northern and Northwestern Virginia,RFC,250,126000.0,"severe weather, winter storm"
Major Snow Storm,2006,2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,500,180000.0,"severe weather, winter storm"
Severe Windstorm,2006,2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Puget Sound Energy,Western Washington,WECC,--,140000.0,"severe weather, wind"
Strong Winds,2006,2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,150,123827.0,"severe weather, wind"
Severe Storm,2006,1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Central Maine Power Company,Southern and Central Maine,NPCC,75,63000.0,"severe weather, storm"
High Winds,2006,1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,--,142315.0,"severe weather, wind"
Severe Storms,2005,12/31/2005,6:00 a.m.,1/5/2006,9:00 a.m.,Pacific Gas and Electric,Northern and Central California,WECC,800,1667316.0,"severe weather, storm"
Ice Storm,2005,12/15/2005,4:00 a.m.,12/21/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North Carolina and South Carolina,SERC,"3,500",683000.0,"severe weather, winter storm"
Ice Storm,2005,12/15/2005,5:05 a.m.,12/16/2005,12:10  p.m.,Southern Company,Northeast Georgia,SERC,75,52659.0,"severe weather, winter storm"
Severe Thunderstorms,2005,11/12/2005,4:00 p.m.,11/14/2005,6:00 p.m.,We Energies,Southeast Wisconsin,MAIN,10,48000.0,"severe weather, thunderstorm"
Severe Thunderstorm,2005,11/12/2005,11:00 p.m.,11/14/2005,11:59 p.m.,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,408,272355.0,"severe weather, thunderstorm"
Severe Thunderstorm,2005,11/6/2005,7:30 a.m.,11/11/2005,11:30  p.m.,DTE Energy,Southeast Michigan,ECAR,212,118000.0,"severe weather, thunderstorm"
Plant Tripped,2005,11/3/2005,6:47 p.m.,11/3/2005,7:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,136,,equipment failure
Hurricane Wilma,2005,10/24/2005,8:00 p.m.,11/2/2005,4:30 p.m.,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,400,303795.0,"severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/24/2005,4:00 a.m.,10/24/2005,4:00 p.m.,Seminole Electric Cooperative,"Florida counties of Collier, Charlotte and Lee",FRCC,280,105000.0,"severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/24/2005,7:00 a.m.,11/10/2005,12:00 a.m.,Florida Municipal Power Agency,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,148,84900.0,"severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/23/2005,8:00 p.m..,10/24/2005,2:00 p.m.,Florida Power and Light,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,"10,000",3241437.0,"severe weather, hurricane/tropical storm"
Voltage Reduction/Load Shed,2005,10/22/2005,9:44 a.m.,10/22/2005,11:40 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,360,85682.0,"voltage reduction, load shedding"
Voltage Reduction/Load Shed,2005,10/18/2005,3:19 p.m.,10/18/2005,3: 37 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,142591.0,"voltage reduction, load shedding"
Voltage Reduction/Load Shed,2005,10/2/2005,5:40 p.m.,10/2/2005,5:54 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,312,71240.0,"voltage reduction, load shedding"
Hurricane Rita,2005,9/24/2005,10:00 a.m.,9/28/2005,6:00 p.m.,American Electric Power - CSWS,"Shreveport, Louisiana",ECAR,700,190000.0,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/24/2005,6:00 a.m.,10/2/2005,5:00 p.m.,TXU Electric Delivery Company,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,260,200000.0,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,5:00 p.m.,9/24/2005,8:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and the surrounding suburban areas",ERCOT,"1,950",715000.0,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,9:00 p.m.,9/25/2005,7:30 a.m.,Entergy Corporation,"Texas, Louisiana, Arkansas, and Mississippi",SPP,,766000.0,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,1:06 p.m.,10/6/2005,2:30 p.m.,Louisiana Generating,West and Southwest Louisiana,SPP,350,125000.0,"severe weather, hurricane/tropical storm"
Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,2005,9/23/2005,7:00 a.m.,9/28/2005,11:29 a.m.,City of Lakeland,"Lakeland, Florida",FRCC,0,0.0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,2005,9/22/2005,12:00 p.m.,9/29/2005,12:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0.0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Severe Thunderstorm,2005,9/22/2005,11:00 a.m.,9/26/2005,11:30 p.m.,DTE Energy,Southeast Michigan,ECAR,366,53000.0,"severe weather, thunderstorm"
High Winds/Tornados,2005,9/21/2005,7:00 p.m.,9/27/2005,11:00 p.m.,Xcel Energy - Northern States  Power,Minnesota,MRO,,200000.0,"severe weather, tornado"
Hurricane Ophelia,2005,9/14/2005,3:00 p.m.,9/15/2005,3:00 p.m.,Progress Energy - Carolinas,Eastern North Carolina,SERC,215,60000.0,"severe weather, hurricane/tropical storm"
Severe Storm,2005,9/13/2005,6:30 p.m.,9/16/2005,8:00 p.m.,We Energies,Southeast Wisconsin and Fox Valley,MAIN,600,110000.0,"severe weather, storm"
Voltage Reduction/Load Shed,2005,9/13/2005,2:14 p.m.,9/13/2005,2:29 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,249,66480.0,"voltage reduction, load shedding"
Breaker protection cable accidentally cut,2005,9/12/2005,12:32 p.m.,9/12/2005,1:56 p.m.,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,"2,578",900000.0,equipment failure
Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005,8/31/2005,4:00 p.m.,9/12/2005,8:00 a.m.,Seminole Electric Cooperative,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,0,0.0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Katrina,2005,8/29/2005,6:00 a.m.,8/30/2005,6:00 a.m.,Entergy Corporation,"Buras, Louisiana",SPP,,1100000.0,"severe weather, hurricane/tropical storm"
Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,2005,8/29/2005,7:10 a.m.,9/7/2005,3:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0.0,"severe weather, hurricane/tropical storm, fuel supply emergency"
Hurricane Katrina,2005,8/29/2005,1:10 a.m.,8/29/2005,12:42 p.m.,Louisiana Generating,East and Southeast Louisiana,SPP,300,143000.0,"severe weather, hurricane/tropical storm"
Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,5:00 p.m.,9/8/2005,12:01 a.m.,City of Lakeland,"City of Lakeland, Florida",FRCC,0,0.0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Katrina,2005,8/29/2005,3:50 p.m.,9/10/2005,12:00 p.m.,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,323529.0,"severe weather, hurricane/tropical storm"
Hurricane Katrina,2005,8/29/2005,7:10 a.m.,8/29/2005,10:00 p.m.,Southern Company,"Alabama, Florida, Mississippi",SERC,"5,120",512049.0,"severe weather, hurricane/tropical storm"
CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,3:51 p.m.,8/25/2005,8:00 p.m.,Southern California Edison Company,Southern California,WECC,864,409000.0,"load shedding, transmission interruption"
CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,3:50 p.m.,8/25/2005,8:00 p.m.,California ISO,Southern California,WECC,-,,"load shedding, public appeal"
Severe Thunderstorms,2005,8/20/2005,2:15 p.m.,8/20/2005,4:21 p.m.,American Electric Power -AEP West,Northwest Arkansas,ECAR,650,50797.0,"severe weather, thunderstorm"
Voltage Reduction/Load Shed,2005,8/19/2005,7:37 p.m.,8/19/2005,8:15 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,71864.0,"voltage reduction, load shedding"
Plant Tripped,2005,8/8/2005,12:38 p.m.,8/8/2005,4:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,240,,equipment failure
Voltage Reduction/Load Shed,2005,8/1/2005,10:28 a.m.,8/1/2005,10:47 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,175,47116.0,"voltage reduction, load shedding"
Severe Thunderstorm,2005,7/28/2005,8:30 p.m.,8/1/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,300,52200.0,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7/27/2005,4:50 p.m,7/28/2005,9:24 p.m.,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,,93837.0,"severe weather, thunderstorm"
Severe Thunderstorm,2005,7/27/2005,5:50 p.m.,7/30/2005,9:07 p.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,,64943.0,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7/27/2005,6:00 p.m.,7/29/2005,4:00 p.m.,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,,87600.0,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7/23/2005,1:02 a.m.,7/26/2005,10:50 a.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,,55118.0,"severe weather, thunderstorm"
CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,1:55 p.m.,7/22/2005,6:00 p.m.,Southern California Edison Company,Southern California,WECC,206,133900.0,load shedding
CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/21/2005,2:39 p.m.,7/21/2005,5:30 p.m.,Southern California Edison Company,Southern California,WECC,197,128050.0,load shedding
Hurricane Dennis,2005,7/10/2005,8:00 a.m.,7/12/2005,8:00 a.m.,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,45,228102.0,"severe weather, hurricane/tropical storm"
Hurricane Dennis,2005,7/10/2005,12:53 p.m.,7/11/2005,5:33 PM,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,51.2,50000.0,"severe weather, hurricane/tropical storm"
Tropical Storm Cindy,2005,7/5/2005,9:00 p.m.,7/6/2005,9:00 a.m.,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,unknown,287000.0,"severe weather, hurricane/tropical storm"
Load Shedding,2005,7/2/2005,1:27 a.m.,7/2/2005,1:46 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,226,132290.0,load shedding
Fuel Supply - Deficiency Coal Rail Transporation Interruption,2005,7/1/2005,,Ongoing,Ongoing,Southwestern Public Service Company,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,0,0.0,"fuel supply emergency, coal"
Strong Thunderstorm/High Winds,2005,6/29/2005,4:30 p.m.,7/4/2005,11:30 p.m.,DTE Energy,Southeast  Michigan,ECAR,"1,000",114711.0,"severe weather, thunderstorm"
Fuel Supply Deficiency/Coal Rail Transportation Interruption,2005,6/28/2005,11:30 a.m.,Ongoing,Ongoing,Public Service Company of Colorado,Denver Metropolitan area of Colorado,WECC,0,0.0,"fuel supply emergency, coal"
Transmission Equipment Failure,2005,6/24/2005,8:37 p.m.,6/24/2005,11:06 p.m.,Commonwealth Edison Company,"Chicago, Illinois",MAIN,350,51500.0,"equipment failure, transmission interruption"
Voltage Reduction,2005,6/20/2005,11:16 a.m.,6/20/2005,5:15 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,35,600000.0,voltage reduction
Strong Thunderstorm,2005,6/8/2005,4:00 a.m.,6/10/2005,10:00 p.m.,Xcel Energy - Northern States Power,Minnesota,MRO,50-100,300000.0,"severe weather, thunderstorm"
Strong Thunderstorms,2005,6/6/2005,12:00 p.m.,6/8/2005,6:00 p.m.,New York  State Electric and Gas,Central/Eastern New York state,NPCC,,65000.0,"severe weather, thunderstorm"
Strong Thunderstorm,2005,6/6/2005,4:43  p.m.,6/7/2005,10:00 p.m.,PECO Energy,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",MAAC,,143000.0,"severe weather, thunderstorm"
Strong Thunderstorm/High Winds,2005,6/5/2005,2:00 p.m.,6/10/2005,7:30 a.m.,DTE Energy,Southeast  Michigan,ECAR,"1,826",201580.0,"severe weather, thunderstorm"
Strong Thunderstorm,2005,6/5/2005,2:00 p.m.,6/7/2005,6:00 p.m.,Consumers Energy,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,ECAR,50-60,105000.0,"severe weather, thunderstorm"
Strong Thunderstorms,2005,5/29/2005,8:00 p.m.,5/30/2005,2:30 a.m.,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,328,123000.0,"severe weather, thunderstorm"
Voltage Reduction,2005,5/11/2005,7:00 p.m.,5/11/2005,8:31 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,529,,voltage reduction
Strong Thunderstorms,2005,5/8/2005,3:00 p.m.,5/8/2005,10:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,672,243000.0,"severe weather, thunderstorm"
Thunderstorms,2005,4/30/2005,8:00 a.m.,4/30/2005,10:00 a.m.,Southern Company,Alabama and Georgia,SERC,100,51808.0,"severe weather, thunderstorm"
Winter Storm,2005,4/23/2005,6:00 a.m,4/27/2005,6:00 a.m.,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,,150000.0,"severe weather, winter storm"
Voltage Reduction,2005,4/23/2005,4:22 a.m.,4/23/2005,4:48 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,345,116552.0,voltage reduction
Lightning Strike,2005,4/22/2005,3:51 p.m.,4/22/2005,3:59 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,126,,"severe weather, thunderstorm"
Winter Storm,2005,4/1/2005,Midnight,4/6/2005,12:00 p.m.,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,,211000.0,"severe weather, winter storm"
Wind Storms,2005,3/8/2005,11:00 a.m.,3/8/2005,3:00 p.m.,Progress Energy - Carolinas,Eastern and Central North Carolina,SERC,180,51600.0,"severe weather, wind"
Voltage Reduction,2005,2/24/2005,12:58 a.m.,2/24/2005,1:05 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,200,,voltage reduction
Generator Loss/Voltage Reduction,2005,2/18/2005,8:16 a.m.,2/18/2005,8:41 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,648,372288.0,"equipment failure, voltage reduction"
Load Shedding,2005,2/16/2005,1:26 p.m.,2/16/2005,1:43 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,325,139438.0,load shedding
Generator Loss,2005,2/15/2005,1:12 p.m.,2/15/2005,1:30 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,380,,equipment failure
