Utility Company,EIA Utility Id,Twitter Handle,Facebook Page,Outage Phone Number,Outage Map URL,Phone Number,Web Site
"City of Gilman City, Missouri (Utility Company)",7200,,https://www.facebook.com/gilmancitymo,(800) 422-3247,,(660) 876-5626,http://gilmancitymo.com/
"City of Giltner, Nebraska (Utility Company)",7249,,,(402) 849-2800,,(402) 849-2800,http://www.giltnerne.com/our_community.asp
"City of Girard, Kansas (Utility Company)",7257,,,After Hours (620) 724-6216,,(620) 724-8918,http://girardkansas.gov/index.php/departments/utilities
"City of Gladstone, Michigan (Utility Company)",7265,,,"After hours, holiday or week-ends: 906-428-3131",,906-428-1701,http://www.gladstonemi.org/electrical
"City of Glasco, Kansas (Utility Company)",7269,,,785-568-2705,,(785) 568-2705,http://www.glascokansas.org/city-information.html
"City of Glasgow, Kentucky (Utility Company)",7270,,https://www.facebook.com/glasgowepb,(270) 651-8341,,(270) 651-8341,http://www.glasgowepb.net/
"City of Glen Elder, Kansas (Utility Company)",7287,,,(785) 545-3322,,(785) 545-3322,http://www.glenelder.com/index.htm
"City of Glendale, California (Utility Company)",7294,,,,,,http://www.glendalewaterandpower.com
"City of Glenwood Springs, Colorado (Utility Company)",7300,,,970-384-6352 or 970-625-8095,,970-384-6352 or 970-625-8095,http://www.ci.glenwood-springs.co.us/departments/publicworks/electric/electric.htm
"City of Glidden, Iowa (Utility Company)",7295,,https://www.facebook.com/pages/City-of-Glidden/133803986686554,712-830-4749,,(712) 659-3010,http://www.cityofglidden.org/www/index.php?option=com_content&view=article&id=50&Itemid=65
"City of Goldsmith, Texas (Utility Company)",7419,,,(432) 827-3404,,(432) 827-3404,
"City of Goldthwaite, Texas (Utility Company)",7368,,,1-800-595-3401,,1-800-595-3401,http://www.hamiltonelectric.coop/
"City of Gonzales, Texas (Utility Company)",7370,,,(830) 672-2815,,(830) 672-2815,http://www.cityofgonzales.org/Department%20Pages/utilities.html
"City of Goodland, Kansas (Utility Company)",7374,,https://www.facebook.com/ctiyofgoodland?ref=tn_tnmn,(785) 890-4500 or (785) 890-4512 or 785-890-4555,,(785) 890-4500 or (785) 890-4512 or 785-890-4555,http://www.cityofgoodland.org/index.php/departments/utilities/electric-department
"City of Gothenburg, Nebraska (Utility Company)",7411,,,After Hours: (308) 537-3608,,308.537.3668,http://www.ci.gothenburg.ne.us/utilities.asp
"City of Graettinger, Iowa (Utility Company)",7443,,https://www.facebook.com/pages/Graettinger-Iowa/104032582966692,(712) 859-3844,,(712) 859-3844 or 712-859-3742,http://www.graettinger.net/index.php?option=com_content&view=article&id=9&Itemid=10
"City of Grafton, North Dakota (Utility Company)",7444,,,(701) 352-1008,,(701) 352-1008; (701) 352-1561,http://www.graftongov.com/
"City of Granbury, Texas (Utility Company)",7480,,,(817) 573-7030,,(817) 573-7030,http://www.granbury.org/index.aspx?NID=64
"City of Grand Haven, Michigan (Utility Company)",7483,@ghblp,https://www.facebook.com/GrandHavenBLP,(616) 842-2241,,(616) 846-6250,http://www.ghblp.org/
"City of Grand Island, Nebraska (Utility Company)",40606,,https://www.facebook.com/GrandIslandUtilities,(308) 385-5461,,308.385.5444 or 308.385-5480,http://www.grand-island.com/your-government/utilities/electric-division
"City of Grand Junction, Iowa (Utility Company)",7486,,https://www.facebook.com/pages/Grand-Junction-Iowa/112482615431647,(515) 738-2726,,(515) 738-2285 or (515) 738-2726,
"City of Grand Marais, Minnesota (Utility Company)",7487,,https://www.facebook.com/GrandMaraisMN,(218) 387-3030 or (218)387-1848,,(218) 387-3030 or (218)387-1848,http://www.ci.grand-marais.mn.us/index.asp?SEC=500080A6-FAB7-498D-A199-B2E31BBB8D21&Type=B_BASIC
"City of Granite Falls, Minnesota (Utility Company)",7494,,https://www.facebook.com/pages/Granite-Falls-Minnesota/108548825837153,320-564-4426 or 320-564-3511,,(320) 564-3011,http://granitefalls.com/City%20Employee%20List.pdf
"City of Granite, Oklahoma (Utility Company)",7501,,,580-535-2116,,580-535-2116,http://www.townofgranite.com/Contact.html
"City of Grant, Nebraska (Utility Company)",7485,,,308.352.2100,,308.352.2100,http://www.grantnebraska.com/
"City of Grantville, Georgia (Utility Company)",7515,,,(770) 583-2289,,(770) 583-2289,http://www.grantvillega.org/609/Public-Utilities
"City of Green Cove Springs, Florida (Utility Company)",7593,,,(904) 297-7500 or (904)-297-7094 or (904) 297-7300,,(904) 297-7500 or (904) 297-7500,http://www.greencovesprings.com/departments/electric_department/
"City of Greendale, Indiana (Utility Company)",6907,,,812-537-2125,,812-537-2125,http://www.cityofgreendale.net/cog/electric_dept.htm
"City of Greeneville, Tennessee (Utility Company)",7625,,,(423) 636-6200,,(423) 636-6200,http://www.glps.net/
"City of Greenfield, Indiana (Utility Company)",7627,,https://www.facebook.com/pages/Greenfield-Power-Light/946303168715984,317-477-4370,,317-477-4370,http://www.greenfieldin.org/utilities/power-and-light
"City of Greenfield, Iowa (Utility Company)",7626,,https://www.facebook.com/GreenfieldMunicipalUtilities,(641) 743-2741 or (641) 743-2914,,(641) 743-2741 or (641) 743-2914,http://gmu-ia.com/
"City of Greensburg, Kansas (Utility Company)",7631,@greensburgks,https://www.facebook.com/greensburgkansas,620.723.2751,,620.723.2751,http://www.greensburgks.org/business/utilities
"City of Greenville,, Texas (Utility Company)",7634,@GEUSsocialmedia,https://www.facebook.com/GEUSsocialmedia,903.457.2888,,,http://www.geus.org/
"City of Gridley, California (Utility Company)",7677,,,(530) 846-5695,,(530) 846-5695,http://www.gridley.ca.us/city-departments/electric-department
"City of Griffin, Georgia (Utility Company)",7679,,,770-229-6425,,,http://www.cityofgriffin.com/DoingBusiness/Utilities.aspx
"City of Groton, South Dakota (Utility Company)",7712,,,(605) 397-8422,,(605) 397-8422,http://www.grotonsd.gov/city/electric.html
"City of Grove City, Minnesota (Utility Company)",7732,,https://www.facebook.com/pages/Grove-City-Minnesota/105533032813630,320-857-2322,,320-857-2322,http://grovecitymn.com/electric%20department.html
"City of Gunnison, Colorado (Utility Company)",7826,@CityofGunnison,,970.641.8070,,970.641.8070,http://www.cityofgunnison-co.gov/Finance/utility_billing.html
"City of Guttenberg, Iowa (Utility Company)",7837,,https://www.facebook.com/pages/Guttenberg-Iowa/103122239728506,(563) 252-1161,,(563) 252-1161,http://www.cityofguttenberg.com/index.asp?Type=B_BASIC&SEC=%7BF3F43A8A-6674-4CE3-959F-8574EDF1B68D%7D
"City of Hagerstown, Indiana (Utility Company)",7907,,,765-489-6171 or 1-866-480-8552,,765-489-6171 or 1-866-480-8552,http://www.hagerstown.in.gov/
"City of Hallettsville, Texas (Utility Company)",7958,,,(361) 798-3681,,(361) 798-3681,http://www.cityofhallettsville.org/utilities
"City of Halstad, Minnesota (Utility Company)",7969,,https://www.facebook.com/pages/Halstad-EDA/175407045845805?ref=hl,218-456-2128,,218-456-2128,http://www.halstad.com/utilities/
"City of Hamilton, Ohio (Utility Company)",7977,,,513-785-7550,,,http://www.hamilton-city.org/
"City of Hampton, Georgia (Utility Company)",8022,,,770-946-4306; after hours- 911,,,http://www.cityofhampton-ga.gov/services/utilities/
"City of Hannibal, Missouri (Utility Company)",8055,@hbpw,https://www.facebook.com/hannibalboardofpublicworks,Emergency &amp; Holidays (573) 221-0955,http://www.hannibalbpw.org/outage-reports/,573-221-8050,http://www.hannibalbpw.org/
"City of Harbor Springs, Michigan (Utility Company)",8083,,,231-526-2091,,(231) 526-2122,http://www.cityofharborsprings.com/utilities-13/
"City of Harlan, Iowa (Utility Company)",8122,@HarlanUtilities,https://www.facebook.com/HarlanMunicipalUtilities?ref=br_tf,712-755-5182,,712-755-5182,http://www.harlannet.com/
"City of Harmony, Minnesota (Utility Company)",8131,,https://www.facebook.com/pages/Harmony-Minnesota/108708242486105,507-886-8122,,507-886-8122,http://www.harmony.mn.us/
"City of Harriman, Tennessee (Utility Company)",8147,,,(865) 882-3242,,(865) 882-3242,http://www.hub-tn.com/
"City of Harrisonburg, Virginia (Utility Company)",8198,,https://www.facebook.com/pages/Harrisonburg-Electric-Commission/134309303287721?ref=hl,(540) 434-5361,,(540) 434-5361,https://www.harrisonburgelectric.com/
"City of Harrisonville, Missouri (Utility Company)",8199,@HvilleCityGov,https://www.facebook.com/cityofharrisonville?fref=ts,816-380-8901 or 816-380-8900,,816-380-8901 or 816-380-8900,http://ci.harrisonville.mo.us/index.aspx?NID=32
"City of Hart Hydro, Michigan (Utility Company)",8205,,,1-877-802-2931 After Hours,,(231)-873-5367,http://www.ci.hart.mi.us/services.html
"City of Hartford, Alabama (Utility Company)",8209,,,(334)588-2245 or (334)588-2222,,(334)588-2245 or (334)588-2222,http://cityofhartfordal.org/index.php/departments/utilities
"City of Hartley, Iowa (Utility Company)",8214,,https://www.facebook.com/Hartleychamber,712-928-2240,,712-928-2240,http://www.hartleyiowa.com/index.php?pageid=746f7069635f69643a3134
"City of Hartselle, Alabama (Utility Company)",8226,,,(256) 773-2533 or (256) 773-2588,,(256) 773-2533 or (256) 773-2588,http://www.hartselleutilities.org/electric-department/
"City of Hastings, Nebraska (Utility Company)",8245,,,402.463.1371,,402.463.1371,https://www.hastingsutilities.com/
"City of Haven, Kansas (Utility Company)",8279,,https://www.facebook.com/CityOfHaven,620.664.3195 or 620.465.3618 or 620.931.0881,,(620) 465-3618,http://www.havencityhall.org/utility-outage.htm
"City of Hawarden, Iowa (Utility Company)",8288,,http://www.cityofhawarden.com/residents/guide-city-services/utility-service/,712-551-2565,,712-551-2565,http://www.cityofhawarden.com/residents/guide-city-services/utility-service/
"City of Healdsburg, California (Utility Company)",8348,,https://www.facebook.com/SmartLivingHealdsburg?fref=ts,(707) 431-7000,,(707) 431-3346,http://www.ci.healdsburg.ca.us/303/Electric-Water-Wastewater-Department
"City of Hearne, Texas (Utility Company)",8359,,https://www.facebook.com/pages/Hearne-Texas/106059652758672,979.279.3461,,979.279.3461,http://hearnetexas.info/
"City of Hebron, Nebraska (Utility Company)",8375,,,402.768.6322;  402-768-6515,,402.768.6322;  402-768-6515,http://www.hebronnebraska.us/government.asp
"City of Hecla, South Dakota (Utility Company)",8379,,,(605) 994-2333,,(605) 994-2333; (605) 994-2375,
"City of Helper, Utah (Utility Company)",8428,,,435-472-5391,,435-472-5391,http://helpercity.net/publicworks.html
"City of Hemphill, Texas (Utility Company)",8432,,,1-800-392-5986,,1-800-392-5986,http://www.deepeast.com/
"City of Hempstead, Texas (Utility Company)",8435,,,(979) 826-2486,,(979) 826-2486,http://216.4.37.14/utilities1a.html
"City of Henning, Minnesota (Utility Company)",8459,,https://www.facebook.com/pages/Henning-Minnesota/108003369227617,(218) 583-4089,,218-583-4089 or (218) 583-2402,http://www.henning.govoffice.com/index.asp?SEC=488B5D34-B434-46CE-AA62-1EF8B0EF3845&Type=B_BASIC
"City of Herington, Kansas (Utility Company)",8490,@cityofherington,https://www.facebook.com/pages/City-of-Herington-Kansas-Municipal-Government/465280393520196,785-258-2271 or After Hours 785-258-2226,,(785) 258-2271,http://cityofherington.com/pView.aspx?id=28776&catid=547
"City of Hermann, Missouri (Utility Company)",8493,@VisitHermann,https://www.facebook.com/visithermann,after hours and weekends 573-486-5400 or 573-486-2211,,after hours and weekends 573-486-5400 or 573-486-2211,http://hermannmo.com/municipal-utilities/
"City of Hermiston, Oregon (Utility Company)",8515,,,(541) 667-5035,,(541) 289-2000,http://www.hermiston.or.us/energy-services
"City of Herndon, Kansas (Utility Company)",8497,,https://www.facebook.com/pages/The-City-of-Herndon-Kansas/569313886429193,(785) 322-5341,,(785) 322-5341,http://www.herndonkansas.com/city.html
"City of Hertford, North Carolina (Utility Company)",8517,,,252-426-5311,,252-426-5311,http://townofhertfordnc.com/departments-2/public-works-department
"City of Heyburn, Idaho (Utility Company)",8532,,,208-679-8158,,208-679-8158,http://www.heyburnidaho.org/
"City of Hickman, Kentucky (Utility Company)",8548,,https://www.facebook.com/pages/Hickman-Electric-System/164757233593011,(270) 236-3951,,(270) 236-3951 or (270) 236-2535,http://hickman.cityof.org/index.php
"City of Hickman, Nebraska (Utility Company)",10229,,,402.792.2212,,402.792.2212,http://www.hickman.ne.gov/files/documents/CH7UTILITIES061212.pdf
"City of Higginsville, Missouri (Utility Company)",8567,,,660-584-2106,,660-584-2106.,http://www.higginsville.org/pView.aspx?id=27715&catid=538
"City of Highland, Illinois (Utility Company)",8573,,https://www.facebook.com/pages/City-of-Highland-Illinois-Government/214074931954937,(618)654-7511 or After Hours (618) 654-2131,,(618)654-7511 or (618) 654-9891,http://www.highlandil.gov/Public_Documents/HighlandIL_Utilities/index
"City of Highlands, North Carolina (Utility Company)",8579,,https://www.facebook.com/TownOfHighlands,828.526.4131,,828.526.4131,http://www.highlandsnc.org/
"City of Hill City, Kansas (Utility Company)",8599,,,(785) 421-3438,,(785) 421-3438,http://www.discoverhillcity.com/BusinessDirectory/tabid/99/oc/3/Utilities.aspx
"City of Hillsboro, Kansas (Utility Company)",8629,,http://www.facebook.com/pages/City-of-Hillsboro-KS/209813695726330,620-947-3188,,620-947-3188 or (620) 947-3162,http://www.cityofhillsboro.net/departments/electric
"City of Hillsboro, North Dakota (Utility Company)",8628,,,605-338-4042,,605-338-4042,http://acupofcoffeeaway.com/city-information/
"City of Hingham, Massachusetts (Utility Company)",8796,,,781-749-0134,,781-749-0134,https://www.hmlp.com
"City of Hinton, Iowa (Utility Company)",8610,,https://www.facebook.com/pages/Hinton-Iowa/105503962815543,(712) 947-4129,,(712) 947-4129,http://www.hintoniowa.com/hinton_municipal_utilities.htm
"City of Hogansville, Georgia (Utility Company)",8698,,https://www.facebook.com/hogansville.georgia,706.637.6648,,,http://www.cityofhogansville.org/
"City of Hoisington, Kansas (Utility Company)",8703,,,After Hours (620) 653-4675,,(620) 653-4385 or (620) 653-4125,http://www.hoisingtonks.org/utilities.htm
"City of Holdrege, Nebraska (Utility Company)",8717,,,308.995.8681,,308.995.8681,http://cityofholdrege.org/holdrege_info.asp?pid=9
"City of Holland, Michigan (Utility Company)",8723,@HBPW_News,https://www.facebook.com/hollandboardofpublicworks,616.355.1500,,616.355.1500,http://www.hollandbpw.com/
"City of Holly Springs, Mississippi (Utility Company)",8748,,https://www.facebook.com/pages/City-of-Holly-Springs-Utility-Department/161189763903282,"(662) 252-4444 nights, holidays  and weekends",,(662)252-4411 or 1-877-267-9313 or  662-252-9976,http://www.hsutilities.com/
"City of Holton, Kansas (Utility Company)",8770,@holtonkansas,https://www.facebook.com/pages/City-of-Holton/200364256650256,(785) 364-2721,,(785) 364-2721,http://www.holtonkansas.org/pView.aspx?id=1932&catid=70
"City of Holyoke, Colorado (Utility Company)",8777,,,(413) 536-9300,,(413) 536-9300,http://www.holyoke.org/utilities/
"City of Holyoke, Massachusetts (Utility Company)",8774,,,(413) 536-9300,,(413) 536-9300,http://www.hged.com
"City of Holyrood, Kansas (Utility Company)",8781,,,(785) 252-3652,,(785) 252-3652,http://www.holyroodkansas.com/index.html
"City of Homestead, Florida (Utility Company)",8795,,,(855) 211-2062,,(855) 211-2062 or (305) 224-4700,http://www.cityofhomestead.com/index.aspx?NID=99
"City of Hominy, Oklahoma (Utility Company)",8799,,,(918) 885-2164,,(918) 885-2164,http://cityofhominy.com/
"City of Hondo, Texas (Utility Company)",8801,,,(830) 741-5077,,,http://www.hondo-tx.org/electric_services/index.php
"City of Hope, Arkansas (Utility Company)",8840,,,(870)-777-3000,,(870)-777-3000,http://www.hope-wl.com/default.htm
"City of Hope, North Dakota (Utility Company)",9067,,,701-945-2772,,701-945-2772,http://www.hopend.com/
"City of Hopkinsville, Kentucky (Utility Company)",8846,@HopElectric,https://www.facebook.com/HESEnergyNet,"(270) 887-4200, option 5",,(270) 887-4200,http://hop-electric.com/index.asp?PageID=1
"City of Hopkinton, Iowa (Utility Company)",8847,,https://www.facebook.com/pages/Hopkinton-Iowa/113755921968517?nr,(563) 926-2480,,(563) 926-2480,http://www.hopkintoniowa.org/Pages/MunicipalUtilities.aspx
"City of Horton, Kansas (Utility Company)",8871,,,(785) 486-2681,,(785) 486-2681,
"City of Houston, Missouri (Utility Company)",8896,,https://www.facebook.com/CityOfHoustonMissouri,417 967-3348,,417 967-3348,http://houstonmo.org/
"City of Howard, South Dakota (Utility Company)",8919,,,(605) 772-4391,,(605) 772-4391,http://www.cityofhoward.com/index.asp?Type=B_BASIC&SEC=%7B2000660D-6398-4651-96C0-4C63AFE37A8D%7D
"City of Hubbard, Ohio (Utility Company)",8949,,,(330) 534-6281,,(330) 534-6281,http://www.cityofhubbard.com/
"City of Hubbell, Nebraska (Utility Company)",9022,,,402.324.4123,,402.324.4123,
"City of Hudson, Ohio (Utility Company)",8972,,,330-342-1715,,,http://www.hudson.oh.us/
"City of Hugoton, Kansas (Utility Company)",9011,,,(620) 544-8531 or 620-544-2478,,(620) 544-8531 or 620-544-2478,http://cityofhugoton.com/electric.htm
"City of Humboldt, Tennessee (Utility Company)",9023,,https://www.facebook.com/pages/Humboldt-Utilities/425959580759989,731.784.9212,,731.784.9212,http://www.humboldtutilities.com/
"City of Hunnewell, Missouri (Utility Company)",9025,,,573-983-2264,,573-983-2264,
"City of Huntingburg, Indiana (Utility Company)",9088,,,(812) 683-3622 or (812) 683-2327,,(812) 683-3622 or (812) 683-2327,http://www.huntingburg-in.gov/
"City of Huntsville, Alabama (Utility Company)",9094,https://twitter.com/HSVUtilities,https://www.facebook.com/Huntsville.Utilities,256-535-4448,https://www.hsvutil.org/outagemap/,1-866-478-8845 or 256-535-1200,https://www.hsvutil.org/
"City of Idaho Falls, Idaho (Utility Company)",9187,@IdahoFallsPower,https://www.facebook.com/pages/Idaho-Falls-Power/,1-208-612-8430,,208- 612-8348,http://www.idahofallsidaho.gov/city/city-departments/idaho-falls-power.html
"City of Imperial, Nebraska (Utility Company)",9217,,,(308) 882-4368; 308-882-5158 or Emergency Sheriff's Dispatch: 308-882-4748,,(308) 882-4368; 308-882-5158,http://www.imperial-ne.com/relocation.php
"City of Independence, Iowa (Utility Company)",9230,,,(319) 332-0100,,(319) 332-0100,http://www.indytel.com/
"City of Independence, Missouri (Utility Company)",9231,@CityOfIndepMO,https://www.facebook.com/CityofIndependence,(816) 325-7550,http://iplmap.indepmo.org/,(816) 325-7930,http://www.ci.independence.mo.us/pl/
"City of Indianola, Nebraska (Utility Company)",9274,,,308.364.2691,,308.364.2691,http://indianolane.com/
"City of Iola, Kansas (Utility Company)",9418,,,(620)365-4910,,(620) 365-4910,http://www.cityofiola.com/utilities.html
"City of Isabel, Kansas (Utility Company)",9463,,https://www.facebook.com/CityofIsabel,(620) 739-4362,,(620) 739-4362,
"City of Itta Bena, Mississippi (Utility Company)",9472,,,(662) 254-7231,,(662) 254-7231,http://ittabenams.homestead.com/
"City of Iuka, Kansas (Utility Company)",9541,,,(620) 546-2264,,(620) 546-2264,
"City of Jackson, Georgia (Utility Company)",9573,,https://www.facebook.com/pages/City-Of-Jackson-Ga/410785369067814,,,770-775-3858,http://www.cityofjacksonga.com/196/Electric
"City of Jackson, Minnesota (Utility Company)",9599,,https://www.facebook.com/jacksonmn,507-847-4410 or After Hours 507- 847-4420,,(507)847-5586,http://www.cityofjacksonmn.com/index.asp?Type=B_BASIC&SEC=%7BA3EE6540-37B4-4A6E-AF89-E22020A3F639%7D
"City of Jackson, Missouri (Utility Company)",9603,,https://www.facebook.com/pages/City-of-Jackson/163542647007182?rf=126957744017915,573-243-2300 After Hours,,573-243-6373 or 573-243-3568 or 573-243-8292,http://www.jacksonmo.org/default.aspx
"City of Jackson, Ohio (Utility Company)",9598,,https://www.facebook.com/pages/City-of-Jackson-Ohio/348801651814223,866-215-2771,,,http://www.jacksonohio.us/
"City of Jackson, Tennessee (Utility Company)",9612,,https://www.facebook.com/jacksonenergyauthority,731.422.7500,,731.422.7500,http://www.jaxenergy.com/
"City of Janesville, Minnesota (Utility Company)",9650,,https://www.facebook.com/pages/Janesville-Minnesota/109379649080771,507-234-5110,,507-234-5110,http://www.janesville.govoffice.com/index.asp?Type=B_BASIC&SEC=%7BBF1D6219-E9B9-417B-8228-220980B94663%7D&DE=%7B219AF8B3-5B5F-4BF2-B64E-B70EBD631696%7D
"City of Jasper, Indiana (Utility Company)",9667,,,812-482-9131,,812-482-9131,http://www.jasperindiana.gov/department/index.php?structureid=21
"City of Jasper, Texas (Utility Company)",9664,,,(409)384-4651,,(409)384-4651,http://www.jaspertx.org/index.php?option=com_content&view=category&id=2&Itemid=15
"City of Jellico, Tennessee (Utility Company)",9697,,,(423) 784-8431,,(423) 784-8431,
"City of Jetmore, Kansas (Utility Company)",9732,,,(620) 357-8344,,(620) 357-8344,http://www.jetmorekansas.com/city-office/street-park-utility-department/
"City of Jewett City, Connecticut (Utility Company)",9734,,,860-376-2877,,(860) 376-2877,http://jewettcitydpu.com/
"City of Johnson City, Tennessee (Utility Company)",9777,@JCPowerBoard,https://www.facebook.com/JCPowerBoard?ref=ts,423-952-5272,https://css.jcpb.com/woViewer/mapviewer.html?config=Outage%2BWeb%2BMap,423-952-5272,https://www.jcpb.com/
"City of Johnson, Kansas (Utility Company)",9776,,,(620) 492-1444,,(620) 492-1444,
"City of Jonesville, Louisiana (Utility Company)",9880,,,318.339.9886,,318.339.6638,http://townofjonesville.net/6085.html
"City of Julesburg, Colorado (Utility Company)",9928,@heacoop,https://www.facebook.com/HighlineElectric,1-800-816-2236,,1-800-816-2236,http://www.hea.coop/
"City of Kahoka, Missouri (Utility Company)",9973,,,after hours emergency 660-727-3161,,660-727-3711,http://www.kahokamo.com/
"City of Kandiyohi, Minnesota (Utility Company)",9998,,https://www.facebook.com/pages/Kandiyohi-Minnesota/105722232794720,320-796-4523,,320-796-5565 or (320) 235-3266,http://www.co.kandiyohi.mn.us/
"City of Kansas City, Kansas (Utility Company)",9996,,,(913) 573-5260,,(913) 573-5260,http://www.wycokck.org/pw/
"City of Kaplan, Louisiana (Utility Company)",10025,,,337-643-3505,,337-643-8604 or 337-643-8811,http://www.kaplanla.com/contacts.html
"City of Kasota, Minnesota (Utility Company)",10037,,https://www.facebook.com/pages/Kasota-Minnesota/112867965390868,507-931-3290,,507-931-3290,http://www.kasotamn.govoffice2.com/
"City of Kasson, Minnesota (Utility Company)",10040,,https://www.facebook.com/KassonMN,After Hours:  (507) 259-6661 or  (507) 634-6330,,(507) 634-7302,http://www.cityofkasson.com/index.asp?SEC=67BED898-3937-4606-8B23-3DA8E46E8538&Type=B_BASIC
"City of Kaukauna, Wisconsin (Utility Company)",10056,,https://www.facebook.com/Kaukauna,920-766-5988,,(920) 766-5721,http://www.kaukaunautilities.com/
"City of Kennett, Missouri (Utility Company)",10152,,https://www.facebook.com/pages/Kennett-City-Light-Gas-Water-CLGW/1382677045301607,After Hours 573-888-2888,,573-888-5366,http://clgw.net/
"City of Key West, Florida (Utility Company)",10226,@City_of_KeyWest,https://www.facebook.com/CityofKeyWest,305-295-1000,,305-295-1000,http://www.cityofkeywest-fl.gov/department/division.php?structureid=165
"City of Kiel, Wisconsin (Utility Company)",10243,,,920-894-2909,,920-894-2909,http://ci.kiel.wi.us/main.asp?SectionID=6&TM=29490.7
"City of Kimball, Nebraska (Utility Company)",10260,,,308.235.3639,,308.235.3639,http://www.kimballne.org/government/city_of_kimball/kimball_utilities/electric_department.php
"City of Kimballton, Iowa (Utility Company)",10265,,https://www.facebook.com/pages/Kimballton-Iowa/107784755917419,(712) 773-3451,,(712) 773-3451 or 712-773-3556,
"City of King Cove, Alaska (Utility Company)",9897,,,(907) 497-2340,,(907) 497-2340,http://www.cityofkingcove.com/finance.html
"City of Kingfisher, Oklahoma (Utility Company)",10320,,,405-375-3705 or 405-375-5200 after hours and weekends,,405-375-3705,http://www.kingfisher.org/government/public-works-utilities/
"City of Kingman, Kansas (Utility Company)",10321,,,(620) 532-3111,,(620) 532-3111,http://www.cityofkingman.com
"City of Kings Mountain, North Carolina (Utility Company)",10324,,https://www.facebook.com/cityofkingsmountain?_rdr,704.730.2125,,704.730.2125,http://www.cityofkm.com/
"City of Kinston, North Carolina (Utility Company)",10345,https://twitter.com/KinstonPublServ,https://www.facebook.com/kinstonpublicservices,(252) 939-3282,,(252) 939-3110,http://www.ci.kinston.nc.us/index.php?option=com_content&task=view&id=54&Itemid=6
"City of Kiowa, Kansas (Utility Company)",10351,,,580-596-3333 or 888-736-3837,,(620) 825-4127,http://www.kiowaks.org/city-services/utilities
"City of Kirkwood, Missouri (Utility Company)",10370,@KirkwoodCity,https://www.facebook.com/CityOfKirkwoodMo,314-822-5842 or After Hours 314-822-5858,,314-822-5843,http://www.kirkwoodmo.org/content/City-Departments/1810/electric.aspx
"City of Kosciusko, Mississippi (Utility Company)",10447,,https://www.facebook.com/pages/City-of-Kosciusko-Light-Water-Office/121990374525168,662-289-1141,,662-289-1141,http://kosciusko.ms/city/electric-department
"City of La Crosse, Kansas (Utility Company)",10559,,,(785) 222-2511,,(785) 222-2511,http://www.cityoflacrosseks.com/utilities
"City of La Grange, Georgia (Utility Company)",10585,,,706-883-2130,,706-883-2030,http://www.lagrange-ga.org/Utilities.aspx
"City of La Grange, Texas (Utility Company)",10532,,,979-968-3127,,979.968.5805,http://www.cityoflg.com/departments/utilities.php
"City of La Harpe, Kansas (Utility Company)",10533,,,(620) 496-2241 or (620) 496-2242,,(620) 496-2241 or (620) 496-2242,
"City of La Junta, Colorado (Utility Company)",10536,,,,,719-384-2611,https://sites.google.com/site/lajuntamunicipalutilities/
"City of La Plata, Missouri (Utility Company)",10538,,http://www.cityoflaplata.net/default.html,660-332-7166,,660-332-7166,http://www.cityoflaplata.net/default.html
"City of LaFayette, Georgia (Utility Company)",10571,,,(706) 639-1511; after hours- (706) 375-7810,,(706) 639-1511,http://cityoflafayettega.org/utilities/
"City of LaFollette, Tennessee (Utility Company)",10579,,,(423) 562-3316 or (800) 352-1340,,(423) 562-3316 or (800) 352-1340,http://www.lub.org/
"City of Lafayette, Alabama (Utility Company)",10570,,,,,,
"City of Lafayette, Louisiana (Utility Company)",9096,,,,,,
"City of Lake City, Minnesota (Utility Company)",10595,,,After Hours:  (651) 345 - 4711 or (651) 345 - 3420,,(651) 345 - 5383 (8am to 4:30pm weekdays),http://www.ci.lake-city.mn.us/index.asp?Type=B_BASIC&SEC=%7BF6B14231-8ACA-4C65-9BFE-81C8655E8120%7D
"City of Lake Crystal, Minnesota (Utility Company)",10596,,,(800)520-4746,,(605)256-6536,http://www.ci.lake-crystal.mn.us/index.asp?Type=B_BASIC&SEC=%7B2DE06193-9262-4C12-AB9A-E946614351C4%7D
"City of Lake Mills, Iowa (Utility Company)",10606,,https://www.facebook.com/pages/Lake-Mills-Graphic/68215259576,(641) 592-2441,,(641) 592-2441,http://www.lakemillsiowa.com/
"City of Lake Park, Iowa (Utility Company)",10608,,https://www.facebook.com/pages/Lake-Park-Iowa/104075932961159,(712) 832-3667,,(712) 832-3667,http://www.lakeparkia.com/index.php/lpmu
"City of Lake Park, Minnesota (Utility Company)",10609,,,218-238-5532,,(218)238-5337,http://lakeparkmn.com/utilities.html
"City of Lake View, Iowa (Utility Company)",10617,@LakeViewIA,https://www.facebook.com/LakeViewIA,(712) 657-2634,,(712) 657-2634,http://www.lakeviewlifestyle.com/lake-view-city_government/city-information.asp
"City of Lake Worth, Florida (Utility Company)",10620,,,1.877.454.4480 or 561.586.1695,,561.533.7300 or 561.586.1665,https://www.lakeworth.org/utilities/electric/
"City of Lakefield, Minnesota (Utility Company)",10622,,,507-662-5457,,507-662-5457,http://www.lakefieldmn.com/
"City of Lakeland, Florida (Utility Company)",10623,,,,,,http://www.lakelandelectric.com/
